"","LP","ID","Data.rozpoczecia","Data.zakonczenia","Calkowity.czas.wypelniania","Rzeczywisty.czas.wypelniania","z1.wiedza.dziedzinowa","z1.zdolnosci.analityczne","z1.skutecznosc","z1.swiadomosc.roli","z1.otwartosc.feedback","z1.rozwoj.wlasny","z2.sposob.pracy","z2.licza.sie","z2.podazaja","z2.potrafi.rozmawiac","z2.dostrzega.potrzeby","z2.dostrzega.potencjal","z2.rozwoj.zawodowy","z2.rozwoj.osobisty","z2.wartosciowy.feedback","z2.dostepny","z2.bezpieczenstwo","z2.nadmierna.presja","z2.trudne.sytuacje","z2.godna.zaufania","z3.zeby.wspolpraca","z3.dobra.atmosfera","z3.mocne.strony","z3.jasne.cele","z3.organizuje.prace","z3.nawyki","z3.chetnie.angazuja","z3.zaprezentowac","z3.w.otoczeniu","z3.komunikuje.zmiany","z3.glowne.wartosci","z3.przeklada.misje","z3.att.check","r1.wiedza.dziedzinowa","r1.zdolnosci.analityczne","r1.skutecznosc","r1.swiadomosc.roli","r1.otwartosc.feedback","r1.rozwoj.wlasny","r2.sposob.pracy","r2.licza.sie","r2.podazaja","r2.potrafi.rozmawiac","r2.dostrzega.potrzeby","r2.dostrzega.potencjal","r2.rozwoj.zawodowy","r2.rozwoj.osobisty","r2.wartosciowy.feedback","r2.dostepny","r2.bezpieczenstwo","r2.nadmierna.presja","r2.trudne.sytuacje","r2.godna.zaufania","r3.zeby.wspolpraca","r3.dobra.atmosfera","r3.mocne.strony","r3.jasne.cele","r3.organizuje.prace","r3.nawyki","r3.chetnie.angazuja","r3.zaprezentowac","r3.w.otoczeniu","r3.komunikuje.zmiany","r3.glowne.wartosci","r3.przeklada.misje","r3.att.check","inne.open","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","wiek","plec","narodowosc.PL","narodowosc.GER","narodowosc.UA","narodowosc.BY","narodowosc.UK","narodowosc.USA","narodowosc.ESP","narodowosc.FR","narodowosc.IT","narodowosc.inna","narodowosc.jaka","staz","kraj.wspolpraca","kraj.inny","stanowisko","stanowisko.inne","poziomy.ponizej","ile.w.zespole","ile.w.zespole.inne","dla.ilu.przeloz","dla.ilu.przeloz.inne","dla.ilu.lider","tryb.pracy","tryb.hybryd","tryb.hybryd.inne","ilu.liderow","final.open","urzadzenie","parametr.zewn","jezyk.wypeln","tagi","strona.odsylajaca","czas.wyp.s1","czas.wyp.s2","czas.wyp.s3","czas.wyp.s4","czas.wyp.s5","czas.wyp.s6","czas.wyp.s7","czas.wyp.s8","czas.wyp.s9","czas.wyp.s10","czas.wyp.s11","czas.wyp.s12"
"49",49,481426434,"2024-10-18 16:00:06","2024-10-18 16:12:31","00:12:25","00:12:25","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",4,NA,3,1,2,NA,NA,NA,1,5,NA,NA,3,9,7,4,8,NA,6,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rozumie i wdraza w zespole koncept „work-life balance”","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w miesiącu lub rzadziej","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Nigdy",39,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"11-15","Inny - jaki?","Globalnie","Team leader, kierownik","",1,"6-10","","6-10",NA,"6-10","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:29","00:01:22","00:01:07","00:01:52","00:00:35","00:01:11","00:00:14","00:03:29","00:01:23","00:00:11","00:00:05","00:00:27"
"50",50,481426734,"2024-10-18 16:00:15","2024-10-18 16:13:54","00:13:39","00:13:39","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,NA,1,2,3,NA,NA,5,3,NA,NA,1,NA,2,NA,NA,NA,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,"","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Zawsze","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu",34,"Kobieta",0,0,0,1,0,0,0,0,0,0,NA,"6-10","Polska","","Team leader, kierownik","",1,"2-5","","1-5",NA,"1-5","Hybrydowo","Dwa dni","","Organizacja pracy na moim stanowisku wymaga regularnej współpracy z więcej, niż jednym liderem/ką","","Mobile",NA,"pl",NA,"","00:00:35","00:01:30","00:02:09","00:01:45","00:00:56","00:00:46","00:00:51","00:02:25","00:01:42","00:00:25","00:00:06","00:00:29"
"51",51,481427076,"2024-10-18 16:02:00","2024-10-18 16:15:57","00:13:57","00:13:57","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Trochę ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Trochę ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,1,3,2,4,NA,6,5,2,7,NA,NA,NA,NA,NA,NA,3,4,NA,1,NA,3,NA,NA,NA,NA,1,5,4,2,NA,NA,NA,"","Kilka razy w roku lub rzadziej","Raz w miesiącu lub rzadziej","Kilka razy w tygodniu","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w miesiącu","Kilka razy w tygodniu","Raz w tygodniu",42,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"16-20","USA","","Menadżer średniego szczebla (lider liderów)","",1,"2-5","","6-10",NA,"6-10","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"android-app://com.google.android.googlequicksearchbox/","00:00:29","00:01:39","00:02:16","00:02:25","00:01:31","00:00:55","00:00:49","00:02:19","00:00:59","00:00:12","00:00:06","00:00:17"
"52",52,481427442,"2024-10-18 16:05:20","2024-10-18 16:17:58","00:12:38","00:12:38","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,5,2,1,3,4,10,4,1,6,9,12,3,5,7,NA,11,NA,8,2,3,9,5,4,6,NA,7,11,2,1,10,8,NA,"Daje przestrzeń do decydowania i działania","Kilka razy w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu","Raz w tygodniu","Kilka razy w tygodniu","Kilka razy w tygodniu",41,"Kobieta",1,0,0,0,0,0,0,0,0,0,NA,"16-20","Polska","","Team leader, kierownik","",2,"2-5","","1-5",NA,"1-5","Hybrydowo","Jeden dzień","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","Mobile",NA,"pl",NA,"","00:00:08","00:01:16","00:01:18","00:01:29","00:01:03","00:02:09","00:01:25","00:02:18","00:00:43","00:00:10","00:00:05","00:00:34"
"53",53,482407770,"2024-10-22 11:30:30","2024-10-22 11:37:24","00:06:54","00:06:54","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","To nie jest dla mnie ważne",NA,NA,2,1,3,NA,9,8,NA,5,7,6,11,3,2,NA,4,NA,10,1,2,3,7,1,9,8,6,NA,5,4,NA,NA,NA,"","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej","Kilka razy w roku lub rzadziej",35,"Mężczyzna",1,0,0,0,0,0,0,0,0,0,NA,"11-15","Wielka Brytania","","Menadżer średniego szczebla (lider liderów)","",2,"21-30","","1-5",NA,"21-30","Hybrydowo","Cztery dni","","Stabilna struktura zespołu sprawia, że pracując na obecnym stanowisku mam stałego/ą lidera/kę","","PC",NA,"pl",NA,"","00:00:04","00:00:32","00:00:45","00:01:04","00:00:27","00:00:59","00:00:33","00:01:00","00:01:02","00:00:08","00:00:04","00:00:16"
"54",54,469194852,"2024-09-09 10:27:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"https://www.google.com/","00:01:09","","","","","","","","","","",""
"55",55,473431941,"2024-09-22 13:30:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:10","","","","","","","","","","",""
"56",56,474241347,"2024-09-24 15:42:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:10","","","","","","","","","","",""
"57",57,478321308,"2024-10-08 14:19:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","00:06:47","","","","","","","","","","",""
"58",58,478351656,"2024-10-08 15:18:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","00:00:12","","","","","","","","","","",""
"59",59,478385370,"2024-10-08 18:26:01","","","","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:15","00:00:51","","","","","","","","","",""
"60",60,478646295,"2024-10-09 11:17:08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","01:48:25","","","","","","","","","","",""
"61",61,478656168,"2024-10-09 11:59:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","00:00:33","","","","","","","","","","",""
"62",62,481512144,"2024-10-18 09:32:22","","","","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","To nie jest dla mnie ważne","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","00:00:03","00:00:14","","","","","","","","","",""
"63",63,481589370,"2024-10-18 15:24:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:05","","","","","","","","","","",""
"64",64,482278296,"2024-10-21 13:44:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","PC",NA,"pl",NA,"","00:00:10","","","","","","","","","","",""
"65",65,483017214,"2024-10-23 19:50:21","","","","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:03:41","00:20:10","","","","","","","","","",""
"66",66,483017319,"2024-10-23 19:51:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:05","","","","","","","","","","",""
"67",67,483026592,"2024-10-23 20:47:22","","","","Trochę ważne","To nie jest dla mnie ważne","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Ważne (ale nie najważniejsze)","Ważne (ale nie najważniejsze)","Jest to dla mnie bardzo ważne","Jest to dla mnie bardzo ważne","Trochę ważne","To nie jest dla mnie ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","Trochę ważne","Jest to dla mnie bardzo ważne","To nie jest dla mnie ważne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"",0,0,0,0,0,0,0,0,0,0,NA,"","","","","",NA,"","","",NA,"","","","","","","Mobile",NA,"pl",NA,"","00:00:26","00:01:22","00:00:57","00:01:04","","","","","","","",""
